scene 	 instruction 	 expected_object 	 expected_affordance 	 actual_object 	 actual_affordance 	 success
FloorPlan10	walk forward then turn right stand on left side trash bin	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up apple in trash bin	pick	apple	pick	apple	True
FloorPlan10	turn left then turn right head to microwave on your left	go	microwave	go	microwave	True
FloorPlan10	open microwave put in microwave then take it out close microwave	heat	apple	heat	potato	False
FloorPlan10	turn left walk straight then turn left walk few step face trash bin	go	garbagecan	go	garbagecan	True
FloorPlan10	put in apple in trash bin	put	garbagecan	put	garbagecan	True
FloorPlan10	go forward turn to right to face trash can next to counter	go	garbagecan	go	garbagecan	True
FloorPlan10	take green apple on right out trash can	pick	apple	pick	apple	True
FloorPlan10	turn around go right then turn to left to face microwave above stove	go	microwave	go	microwave	True
FloorPlan10	put apple in microwave shut door then open door take apple out again	heat	apple	heat	apple	True
FloorPlan10	go left then turn to left again to face trash can	go	garbagecan	go	garbagecan	True
FloorPlan10	put apple in trash can	put	garbagecan	put	garbagecan	True
FloorPlan10	walk to refrigerator turn right turn right again walk to garbage can	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up apple that in near right corner can	pick	apple	pick	apple	True
FloorPlan10	turn left walk to stove turn left to face stove	go	microwave	go	stoveknob	False
FloorPlan10	put apple in microwave heat it take it out	heat	apple	heat	apple	True
FloorPlan10	turn left got to end counter walk to garbage can turn left to face can	go	garbagecan	put	garbagecan	False
FloorPlan10	put apple in garbage can to right other apple	put	garbagecan	put	garbagecan	True
FloorPlan10	turn left move to end island above trash can	go	countertop	go	countertop	True
FloorPlan10	pick up green apple from counter	pick	apple	pick	apple	True
FloorPlan10	turn left move across room to microwave on left	go	microwave	go	countertop	False
FloorPlan10	warm apple in microwave for few second then take it back out	heat	apple	heat	apple	True
FloorPlan10	turn left head back to end island where trash can located	go	garbagecan	go	countertop	False
FloorPlan10	throw apple into trash can	put	garbagecan	put	garbagecan	True
FloorPlan10	turn left walk towards counter in front trash bin	go	countertop	go	garbagecan	False
FloorPlan10	pick up apple on counter	pick	apple	pick	apple	True
FloorPlan10	turn left right head to microwave on your left	go	microwave	go	microwave	True
FloorPlan10	open microwave put in out apple then close microwave	heat	apple	heat	apple	True
FloorPlan10	turn left walk forward then turn left face trash bin	go	garbagecan	go	garbagecan	True
FloorPlan10	drop apple in trash bin	put	garbagecan	put	garbagecan	True
FloorPlan10	turn to left then left again to face trash can	go	countertop	go	garbagecan	False
FloorPlan10	pick up apple from island on closer side	pick	apple	pick	apple	True
FloorPlan10	carry apple turn to left then right look up to microwave	go	microwave	go	microwave	True
