scene 	 instruction 	 expected_object 	 expected_affordance 	 actual_object 	 actual_affordance 	 success
FloorPlan25	turn left and walk to the sink	go	countertop	go	sinkbasin	False
FloorPlan25	pick up the knife from the ground that is on the left	pick	knife	pick	knife	True
FloorPlan25	move slightly forward to the sink basin	go	potato	put	sinkbasin	False
FloorPlan25	use the knife to slice the potato in the sink basin	slice	potato	slice	potato	True
FloorPlan25	turn left and walk into the kitchen to the sink	go	countertop	go	sinkbasin	False
FloorPlan25	look down and pick up the left most knife from the floor	pick	knife	pick	knife	True
FloorPlan25	look up to face the kitchen sink	go	potato	put	sinkbasin	False
FloorPlan25	cut the round fruit in the sink with the knife	slice	potato	pick	knife	False
FloorPlan25	turn right and take a small step to your right then walk forward to the counter	go	countertop	go	countertop	True
FloorPlan25	pick up the fork that s in front of you to the right of the stove	pick	fork	pick	fork	True
FloorPlan25	turn around and take a step then turn left to face the sink	go	sinkbasin	put	sinkbasin	False
FloorPlan25	wash the fork in the left sink and then pick it back up and shut off the water	clean	fork	put	sinkbasin	False
FloorPlan25	turn left to face the counter again	go	drawer	break	window	False
FloorPlan25	open the drawer under the counter to the right of the stove and put the clean fork in there then close the drawer	put	fork	close	drawer	False
FloorPlan25	turn around and go to the counter with the toaster on it	go	countertop	go	countertop	True
FloorPlan25	pick up the fork sitting on the counter and turn around	pick	fork	pick	fork	True
FloorPlan25	cross the kitchen to the sink	go	sinkbasin	put	sinkbasin	False
FloorPlan25	place the fork in the sink and wash it then pick it back up	clean	fork	pick	fork	False
FloorPlan25	turn around and go to the drawer beside the oven	go	drawer	go	drawer	True
FloorPlan25	open the drawer and put the fork inside and close it	put	fork	close	drawer	False
FloorPlan25	walk to the counter to the right of the stove	go	countertop	go	countertop	True
FloorPlan25	pick up the fork to the left of the toaster	pick	fork	pick	fork	True
FloorPlan25	walk to the sink on the right	go	sinkbasin	go	sinkbasin	True
FloorPlan25	put the fork down in the left side of the sink rinse of the fork pick up the fork	clean	fork	pick	fork	False
FloorPlan25	turn left to face the counter to the right of the stove	go	drawer	put	countertop	False
FloorPlan25	open the drawer below the counter put the fork in the drawer close the drawer	put	fork	close	drawer	False
FloorPlan25	turn right walk to sink	go	countertop	go	sinkbasin	False
FloorPlan25	pick up the fork that is in front of the sink	pick	fork	pick	fork	True
FloorPlan25	move two steps to the left	go	sinkbasin	break	window	False
FloorPlan25	put the fork in the sink fill with water take fork out	clean	fork	put	sinkbasin	False
FloorPlan25	turn to the left to face counter	go	drawer	go	countertop	False
FloorPlan25	put the fork in the drawer	put	fork	put	drawer	False
FloorPlan25	walk to face sink	go	countertop	go	sinkbasin	False
FloorPlan25	pick up fork from sink edge	pick	fork	pick	fork	True
FloorPlan25	turn to face left sink	go	sinkbasin	put	sinkbasin	False
FloorPlan25	wash and remove fork from sink	clean	fork	put	sinkbasin	False
FloorPlan25	turn left to face counter tops and drawers	go	drawer	put	countertop	False
FloorPlan25	put fork in drawer	put	fork	put	drawer	False
FloorPlan25	turn around and walk to the counter with the microwave on the right	go	countertop	put	countertop	False
FloorPlan25	pick up the fork behind the green sponge on the counter	pick	fork	pick	fork	True
FloorPlan25	turn around and walk to the sink on the right	go	sinkbasin	go	sinkbasin	True
FloorPlan25	put the fork inside the left side of the sink rinse it for a few seconds and pick it back up	clean	fork	put	sinkbasin	False
FloorPlan25	turn left to face the drawers to the right of the stove	go	drawer	put	countertop	False
